run_id,status,result,dataset,model,embedding,n_Gain,n_Start,run,last_cycle
GFP_blosum50_rf_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,GFP,rf,blosum50,20,1000,6,14
RASK_one_hot_elastic_net_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run4,finished,success,RASK,elastic_net,one_hot,100,200,4,3
GFP_georgiev_fnn_nGain50_nStart500_ddG_top_start0.15_nCycles40_normedScores_run6,finished,success,GFP,fnn,georgiev,50,500,6,18
GFP_one_hot_elastic_net_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run1,finished,success,GFP,elastic_net,one_hot,100,3000,1,1
GFP_georgiev_fnn_nGain20_nStart200_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,GFP,fnn,georgiev,20,200,7,11
PHOT_one_hot_linear_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,failure,PHOT,linear,one_hot,100,3000,2,19
RASK_one_hot_svr_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,RASK,svr,one_hot,50,1000,3,5
YAP1_one_hot_rf_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run10,finished,failure,YAP1,rf,one_hot,20,1000,10,40
GFP_blosum50_rf_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run8,finished,success,GFP,rf,blosum50,10,500,8,9
PHOT_blosum50_linear_nGain20_nStart500_ddG_top_start0.15_nCycles40_normedScores_run10,finished,failure,PHOT,linear,blosum50,20,500,10,13
GFP_one_hot_elastic_net_nGain10_nStart100_ddG_top_start0.15_nCycles40_normedScores_run1,finished,failure,GFP,elastic_net,one_hot,10,100,1,10
RASK_blosum90_fnn_nGain20_nStart100_ddG_top_start0.15_nCycles40_normedScores_run10,finished,failure,RASK,fnn,blosum90,20,100,10,15
GFP_blosum50_rf_nGain10_nStart200_ddG_top_start0.15_nCycles40_normedScores_run10,finished,failure,GFP,rf,blosum50,10,200,10,24
PHOT_georgiev_lightgbm_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,PHOT,lightgbm,georgiev,50,1000,7,18
GFP_blosum50_fnn_nGain20_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,GFP,fnn,blosum50,20,3000,2,16
GFP_blosum90_fnn_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run4,finished,success,GFP,fnn,blosum90,100,200,4,5
YAP1_blosum90_svr_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run8,running,open,YAP1,svr,blosum90,10,3000,8,5
RASK_georgiev_elastic_net_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run9,finished,success,RASK,elastic_net,georgiev,100,200,9,3
RASK_one_hot_linear_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run1,finished,success,RASK,linear,one_hot,50,1000,1,4
GFP_georgiev_linear_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run8,finished,success,GFP,linear,georgiev,100,200,8,2
PHOT_one_hot_rf_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run1,finished,failure,PHOT,rf,one_hot,20,1000,1,37
YAP1_georgiev_svr_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,YAP1,svr,georgiev,10,3000,3,3
YAP1_blosum50_rf_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,failure,YAP1,rf,blosum50,20,1000,2,40
YAP1_georgiev_fnn_nGain50_nStart500_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,YAP1,fnn,georgiev,50,500,2,7
